Codigo,Status,Inicio,Fim,Valor
CT01,False,2022-01-01T08:00,2022-01-01T08:15,0.0
CT02,False,2022-01-01T08:00,2022-01-01T08:16,5.9
CT03,False,2022-01-01T08:00,2022-01-01T09:00,5.9
CT04,False,2022-01-01T08:00,2022-01-01T09:01,8.4
CT05,True,2022-01-01T08:00,2022-01-01T10:00,6.7
CT06,False,2022-01-01T23:00,2022-01-02T09:00,50.0
CT07,False,2022-01-01T23:00,2022-01-02T07:59,5.9
CT08,False,2022-01-01T08:00,2022-01-03T09:00,100.0
CT09,True,2022-01-01T08:00,2022-01-01T08:15,0.0
CT10,True,2022-01-01T23:00,2022-01-03T09:00,50.0
